1,1,121.28,334.51,133.89,59.5,1,1,1.0
1,2,209.09,251.45,93.9,40.55000000000001,1,1,1.0
1,3,735.57,269.57,70.0,35.72000000000003,1,1,1.0
2,1,99.66,336.3,133.89000000000001,59.5,1,1,1.0
2,2,209.08,251.66,93.91,40.54999999999998,1,1,1.0
2,3,721.68,271.1,70.0,35.72999999999996,1,1,1.0
3,1,74.06,341.06,137.45,59.5,1,1,1.0
3,2,209.08,251.88,93.91,40.55000000000001,1,1,1.0
3,3,709.84,272.64,70.0,35.73000000000002,1,1,1.0
4,1,49.05,344.63,142.85000000000002,60.670000000000016,1,1,1.0
4,2,209.08,252.09,93.91,40.54999999999998,1,1,1.0
4,3,695.95,274.19,70.0,35.73000000000002,1,1,1.0
5,1,22.86,349.4,149.44,61.860000000000014,1,1,1.0
5,2,209.08,252.3,93.91,40.55000000000001,1,1,1.0
5,3,681.02,277.79,70.0,35.72999999999996,1,1,1.0
6,1,0.0,351.79,149.18,65.00999999999999,1,1,1.0
6,2,209.08,252.52,93.91,40.54999999999998,1,1,1.0
6,3,667.13,278.82,74.07000000000005,35.73000000000002,1,1,1.0
7,1,0.0,355.78,122.11,65.01000000000005,1,1,1.0
7,2,209.08,252.73,93.91,40.54999999999998,1,1,1.0
7,3,651.69,280.4,76.1099999999999,37.24000000000001,1,1,1.0
8,1,0.0,360.56,99.8,67.44,1,1,1.0
8,2,209.08,252.94,93.91,40.55000000000001,1,1,1.0
8,3,636.25,282.5,78.14999999999998,38.23000000000002,1,1,1.0
9,1,0.0,363.7,76.7,59.5,1,1,1.0
9,2,209.08,253.16,93.91,40.54999999999998,1,1,1.0
9,3,621.84,284.6,81.25999999999999,39.20999999999998,1,1,1.0
10,1,0.0,369.3,53.6,55.49000000000001,1,1,1.0
10,2,209.08,253.37,93.91,40.55000000000001,1,1,1.0
10,3,605.37,286.1,82.33000000000004,40.289999999999964,1,1,1.0
11,1,0.0,378.0,28.9,51.80000000000001,1,1,1.0
11,2,209.08,253.58,93.91,40.54999999999998,1,1,1.0
11,3,590.45,288.67,83.84999999999991,40.289999999999964,1,1,1.0
12,2,209.08,253.62,93.91,40.55000000000001,1,1,1.0
12,3,576.04,291.25,84.86000000000001,40.27999999999997,1,1,1.0
13,2,209.08,253.65,93.91,40.54999999999998,1,1,1.0
13,3,558.52,293.1,87.58000000000004,41.19999999999999,1,1,1.0
14,2,209.08,253.69,93.91,40.55000000000001,1,1,1.0
14,3,542.84,294.94,87.57999999999993,41.19999999999999,1,1,1.0
15,2,209.08,253.73,93.91,40.54999999999998,1,1,1.0
15,3,528.08,298.6,88.51999999999998,42.14999999999998,1,1,1.0
16,2,209.08,253.76,93.91,40.55000000000001,1,1,1.0
16,3,509.64,301.37,93.06000000000006,42.14999999999998,1,1,1.0
17,2,209.08,253.8,93.91,40.55000000000001,1,1,1.0
17,3,493.03,304.1,93.07000000000005,43.10999999999996,1,1,1.0
18,2,209.08,253.83,93.91,40.54999999999998,1,1,1.0
18,3,474.59,305.0,95.81,45.89999999999998,1,1,1.0
19,2,209.08,253.87,93.91,40.55000000000001,1,1,1.0
19,3,457.07,307.8,96.72999999999996,46.789999999999964,1,1,1.0
20,2,209.08,253.9,93.91,40.54999999999998,1,1,1.0
20,3,440.46,310.57,95.83999999999997,46.79000000000002,1,1,1.0
21,2,209.08,253.94,93.91,40.55000000000001,1,1,1.0
21,3,422.94,314.3,100.45999999999998,48.589999999999975,1,1,1.0
22,2,209.08,253.97,93.91,40.54999999999998,1,1,1.0
22,3,404.37,315.73,101.93,48.589999999999975,1,1,1.0
23,2,209.08,254.01,93.91,40.55000000000001,1,1,1.0
23,3,387.23,320.01,103.37,48.59000000000003,1,1,1.0
24,2,209.08,254.05,93.91,40.55000000000001,1,1,1.0
24,3,367.23,322.87,104.76999999999998,48.589999999999975,1,1,1.0
25,2,209.08,254.08,93.91,40.54999999999998,1,1,1.0
25,3,348.66,327.2,109.03999999999996,49.97000000000003,1,1,1.0
26,2,209.08,254.12,93.91,40.55000000000001,1,1,1.0
26,3,330.08,331.5,109.05000000000001,51.389999999999986,1,1,1.0
27,2,209.08,254.15,93.91,40.54999999999998,1,1,1.0
27,3,308.66,334.36,111.94,51.389999999999986,1,1,1.0
28,2,209.08,254.19,93.91,40.55000000000001,1,1,1.0
28,3,288.66,337.2,114.83999999999997,55.69,1,1,1.0
29,2,209.08,254.22,93.91,40.54999999999998,1,1,1.0
29,3,265.8,341.49,119.09999999999997,55.69,1,1,1.0
30,2,209.08,254.26,93.91,40.55000000000001,1,1,1.0
30,3,245.8,342.92,119.09999999999997,55.69,1,1,1.0
31,2,209.08,254.29,93.91,40.54999999999998,1,1,1.0
31,3,222.94,347.2,123.36000000000001,57.120000000000005,1,1,1.0
32,2,209.08,254.33,93.91,40.54999999999998,1,1,1.0
32,3,200.08,351.5,126.22,58.52999999999997,1,1,1.0
33,2,209.08,254.37,93.91,40.55000000000001,1,1,1.0
33,3,175.8,354.36,130.5,58.52999999999997,1,1,1.0
34,2,209.08,254.4,93.91,40.54999999999998,1,1,1.0
34,3,150.08,360.07,136.22,58.53000000000003,1,1,1.0
35,2,209.08,254.44,93.91,40.55000000000001,1,1,1.0
35,3,127.22,362.93,137.98,58.52999999999997,1,1,1.0
36,2,209.08,254.47,93.91,40.54999999999998,1,1,1.0
36,3,99.13,367.8,144.67000000000002,61.93000000000001,1,1,1.0
37,2,209.08,254.51,93.91,40.55000000000001,1,1,1.0
37,3,74.33,371.1,147.97000000000003,65.23999999999995,1,1,1.0
38,2,209.08,254.54,93.91,40.54999999999998,1,1,1.0
38,3,43.35,373.3,156.85,69.68,1,1,1.0
39,2,209.08,254.58,93.91,40.54999999999998,1,1,1.0
39,3,19.01,375.51,156.85000000000002,69.68,1,1,1.0
40,2,209.08,254.61,93.91,40.55000000000001,1,1,1.0
40,3,0.0,382.15,151.5,69.68,1,1,1.0
41,2,209.08,254.65,93.91,40.54999999999998,1,1,1.0
41,3,0.0,386.58,129.4,69.67000000000002,1,1,1.0
42,2,209.08,254.69,93.91,40.55000000000001,1,1,1.0
42,3,0.0,393.21,100.6,69.68,1,1,1.0
43,2,209.08,254.72,93.91,40.54999999999998,1,1,1.0
43,3,0.0,393.21,76.3,69.68,1,1,1.0
44,2,209.08,254.76,93.91,40.55000000000001,1,1,1.0
44,3,0.0,404.33,52.0,65.19999999999999,1,1,1.0
45,2,209.08,254.79,93.91,40.54999999999998,1,1,1.0
45,3,0.0,406.5,23.2,63.02999999999997,1,1,1.0
46,2,209.08,254.83,93.91,40.54999999999998,1,1,1.0
47,2,209.08,254.86,93.91,40.55000000000001,1,1,1.0
48,2,209.08,254.9,93.91,40.54999999999998,1,1,1.0
49,2,209.08,254.93,93.91,40.55000000000001,1,1,1.0
50,2,209.08,254.97,93.91,40.54999999999998,1,1,1.0
51,2,209.08,255.01,93.91,40.55000000000001,1,1,1.0
52,2,209.08,255.04,93.91,40.54999999999998,1,1,1.0
